listing_id,neighbourhood_name,property_type,room_type,accommodates,bathrooms,bedrooms,beds,listing_price,minimum_nights,maximum_nights,instant_bookable,is_superhost,host_listing_count,total_reviews_before_cutoff,unique_reviewers_before_cutoff,avg_comment_len_before_cutoff,max_comment_len_before_cutoff,days_since_last_review,available_days_last_90d,available_rate_last_90d,avg_minimum_nights_calendar_last_90d,avg_maximum_nights_calendar_last_90d,available_days_last_30d,available_rate_last_30d,avg_minimum_nights_calendar_last_30d,avg_maximum_nights_calendar_last_30d,future_calendar_days_observed_30d,future_available_days_30d,future_available_rate_30d,high_demand_proxy,cutoff_date,dataset_version
50522635,De Aker - Nieuw Sloten,Entire townhouse,Entire home/apt,4,1.5,3.0,,,3,30,False,False,1,11.0,11.0,181.36363636363637,575.0,1267.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50537139,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,4,1.0,2.0,,,3,365,False,False,1,0.0,0.0,,,-1.0,0,0.0,3.0,365.0,0,0.0,3.0,365.0,30,0,0.0,1,2026-04-11,v1_student
1390683090722153842,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,232.0,4,21,False,False,1,3.0,3.0,446.0,641.0,230.0,58,0.6373626373626373,4.0,21.0,0,0.0,4.0,21.0,30,0,0.0,1,2026-04-11,v1_student
50544630,Geuzenveld - Slotermeer,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,88.0,3,10,False,True,2,87.0,86.0,306.8045977011494,1296.0,228.0,42,0.46153846153846156,3.0,10.0,31,1.0,3.0,10.0,30,30,1.0,0,2026-04-11,v1_student
50559988,De Baarsjes - Oud-West,Entire condo,Entire home/apt,2,1.5,1.0,,,7,365,False,False,1,3.0,3.0,351.0,425.0,595.0,0,0.0,7.0,365.0,0,0.0,7.0,365.0,30,0,0.0,1,2026-04-11,v1_student
50564592,Centrum-West,Private room in bed and breakfast,Private room,4,2.5,2.0,3.0,546.0,3,180,False,True,3,67.0,67.0,450.7761194029851,1426.0,255.0,0,0.0,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50568202,Westerpark,Entire condo,Entire home/apt,2,1.0,1.0,,,6,1125,False,False,1,5.0,5.0,113.0,158.0,1351.0,0,0.0,6.0,1125.0,0,0.0,6.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50585264,IJburg - Zeeburgereiland,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,171.0,3,10,False,False,1,2.0,2.0,205.5,298.0,248.0,3,0.03296703296703297,3.0,10.0,3,0.0967741935483871,3.0,10.0,30,30,1.0,0,2026-04-11,v1_student
50602388,Bijlmer-Oost,Entire rental unit,Entire home/apt,5,1.0,2.0,2.0,129.0,10,59,False,False,1,2.0,2.0,175.0,341.0,1097.0,49,0.5384615384615384,3.0,59.0,0,0.0,3.0,59.0,30,0,0.0,1,2026-04-11,v1_student
50604053,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,4,1.0,3.0,,,2,42,False,False,1,1.0,1.0,456.0,456.0,1708.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50608863,Watergraafsmeer,Entire rental unit,Entire home/apt,3,2.0,2.0,,,3,31,False,False,1,18.0,18.0,306.0,624.0,365.0,0,0.0,3.0,31.0,0,0.0,3.0,31.0,30,0,0.0,1,2026-04-11,v1_student
50613624,Geuzenveld - Slotermeer,Room in boutique hotel,Private room,5,1.0,2.0,3.0,282.0,1,12,True,True,13,50.0,50.0,168.58,1003.0,229.0,80,0.8791208791208791,2.0,999.0,20,0.6451612903225806,2.0,999.0,30,0,0.0,1,2026-04-11,v1_student
50625568,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,,,2,30,False,False,1,12.0,12.0,362.25,694.0,268.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50630087,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,500.0,7,14,False,False,1,3.0,3.0,274.6666666666667,408.0,1361.0,58,0.6373626373626373,7.0,14.0,0,0.0,7.0,14.0,30,0,0.0,1,2026-04-11,v1_student
50631207,Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,157.0,2,365,False,False,1,0.0,0.0,,,-1.0,0,0.0,2.0,365.0,0,0.0,2.0,365.0,30,0,0.0,1,2026-04-11,v1_student
50636245,Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,,,2,30,False,False,1,2.0,2.0,261.0,474.0,1728.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50646002,Zuid,Entire rental unit,Entire home/apt,2,1.0,1.0,,,2,30,False,False,1,13.0,13.0,183.92307692307693,556.0,687.0,0,0.0,3.0,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50648502,Geuzenveld - Slotermeer,Private room in guest suite,Private room,3,1.5,1.0,,,3,7,False,True,1,102.0,101.0,218.13725490196077,980.0,230.0,28,0.3076923076923077,3.0,1125.0,0,0.0,3.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50650317,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,1.0,1.0,,,3,365,False,False,1,19.0,19.0,266.94736842105266,681.0,230.0,0,0.0,3.0,365.0,0,0.0,3.0,365.0,30,0,0.0,1,2026-04-11,v1_student
50656261,IJburg - Zeeburgereiland,Entire condo,Entire home/apt,4,1.0,2.0,2.0,129.0,4,45,False,False,1,6.0,5.0,547.5,980.0,239.0,0,0.0,4.0,45.0,0,0.0,4.0,45.0,30,0,0.0,1,2026-04-11,v1_student
50666229,De Baarsjes - Oud-West,Private room in bed and breakfast,Private room,4,1.0,2.0,5.0,204.0,3,21,True,True,2,226.0,226.0,220.7566371681416,1003.0,215.0,91,1.0,3.0,1125.0,31,1.0,3.0,1125.0,30,30,1.0,0,2026-04-11,v1_student
50667689,Noord-Oost,Private room in boat,Private room,4,3.0,2.0,,,1,365,False,False,1,2.0,2.0,246.5,428.0,1414.0,0,0.0,1.0,365.0,0,0.0,1.0,365.0,30,0,0.0,1,2026-04-11,v1_student
50694554,Geuzenveld - Slotermeer,Room in boutique hotel,Private room,2,1.0,1.0,1.0,170.0,1,12,True,True,13,22.0,22.0,216.63636363636363,934.0,227.0,79,0.8681318681318682,2.0,999.0,20,0.6451612903225806,2.0,999.0,30,0,0.0,1,2026-04-11,v1_student
50698647,Zuid,Entire condo,Entire home/apt,4,1.5,2.0,1.0,420.0,3,24,False,False,1,20.0,19.0,223.45,672.0,233.0,91,1.0,3.0,24.0,31,1.0,3.0,24.0,30,30,1.0,0,2026-04-11,v1_student
50713619,Centrum-West,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,300.0,3,12,False,False,1,4.0,4.0,201.0,407.0,1273.0,0,0.0,3.0,12.0,0,0.0,3.0,12.0,30,0,0.0,1,2026-04-11,v1_student
50725758,De Pijp - Rivierenbuurt,Entire condo,Entire home/apt,2,1.5,2.0,1.0,214.0,1,28,False,False,1,19.0,19.0,220.26315789473685,798.0,231.0,0,0.0,1.0,28.0,0,0.0,1.0,28.0,30,0,0.0,1,2026-04-11,v1_student
50739369,Geuzenveld - Slotermeer,Room in boutique hotel,Private room,4,1.0,1.0,2.0,222.0,1,12,True,True,13,22.0,22.0,135.54545454545453,396.0,243.0,79,0.8681318681318682,2.0,999.0,20,0.6451612903225806,2.0,999.0,30,0,0.0,1,2026-04-11,v1_student
50742674,Slotervaart,Entire home,Entire home/apt,5,1.5,2.0,3.0,244.0,3,365,False,False,1,21.0,21.0,302.0952380952381,610.0,306.0,5,0.054945054945054944,3.0,365.0,3,0.0967741935483871,3.0,365.0,30,9,0.3,1,2026-04-11,v1_student
50742990,Geuzenveld - Slotermeer,Room in boutique hotel,Private room,2,1.0,1.0,1.0,148.0,1,12,True,True,13,63.0,63.0,190.14285714285714,1016.0,227.0,79,0.8681318681318682,2.0,999.0,20,0.6451612903225806,2.0,999.0,30,0,0.0,1,2026-04-11,v1_student
50743857,Geuzenveld - Slotermeer,Room in boutique hotel,Private room,4,1.5,2.0,,,1,12,True,True,13,55.0,55.0,187.9090909090909,995.0,251.0,79,0.8681318681318682,2.0,999.0,20,0.6451612903225806,2.0,999.0,30,0,0.0,1,2026-04-11,v1_student
50792732,Centrum-Oost,Entire condo,Entire home/apt,4,1.0,2.0,,,3,17,False,False,1,20.0,20.0,319.3,1017.0,270.0,0,0.0,3.0,17.0,0,0.0,3.0,17.0,30,0,0.0,1,2026-04-11,v1_student
50807501,Slotervaart,Entire home,Entire home/apt,5,3.0,3.0,,,4,1125,False,False,1,6.0,6.0,266.0,949.0,306.0,0,0.0,4.0,1125.0,0,0.0,4.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50815719,Bos en Lommer,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,200.0,2,20,False,False,1,17.0,17.0,305.05882352941177,1062.0,293.0,0,0.0,4.0,20.0,0,0.0,4.0,20.0,30,0,0.0,1,2026-04-11,v1_student
50820297,Westerpark,Entire rental unit,Entire home/apt,2,1.0,1.0,,,3,730,False,False,1,13.0,13.0,404.2307692307692,1039.0,349.0,0,0.0,3.0,730.0,0,0.0,3.0,730.0,30,0,0.0,1,2026-04-11,v1_student
50821394,Zuid,Houseboat,Entire home/apt,3,1.0,1.0,2.0,115.0,2,365,True,True,1,179.0,178.0,226.92737430167597,1000.0,223.0,83,0.9120879120879121,2.0,365.0,26,0.8387096774193549,2.0,365.0,30,22,0.7333333333333333,0,2026-04-11,v1_student
50824558,Oud-Oost,Entire townhouse,Entire home/apt,4,1.5,3.0,,,7,28,False,False,1,2.0,2.0,366.5,505.0,983.0,0,0.0,7.0,28.0,0,0.0,7.0,28.0,30,0,0.0,1,2026-04-11,v1_student
50828500,Oud-Noord,Entire home,Entire home/apt,4,1.5,2.0,,,5,365,False,True,2,2.0,2.0,334.0,387.0,888.0,0,0.0,5.0,365.0,0,0.0,5.0,365.0,30,0,0.0,1,2026-04-11,v1_student
50829714,Watergraafsmeer,Private room in rental unit,Private room,3,1.5,1.0,2.0,98.0,1,35,False,False,4,80.0,80.0,211.175,1002.0,229.0,21,0.23076923076923078,1.7142857142857142,35.0,0,0.0,1.7741935483870968,35.0,30,0,0.0,1,2026-04-11,v1_student
50837299,Noord-Oost,Private room in casa particular,Private room,2,1.5,,,,2,30,False,False,1,1.0,1.0,33.0,33.0,1637.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50837302,Bos en Lommer,Entire loft,Entire home/apt,2,1.0,1.0,,,2,2,True,False,1,7.0,7.0,228.0,567.0,1637.0,0,0.0,2.0,1125.0,0,0.0,2.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50838617,IJburg - Zeeburgereiland,Boat,Entire home/apt,9,2.0,1.0,5.0,420.0,2,30,True,True,1,88.0,88.0,229.92045454545453,1008.0,215.0,91,1.0,2.0,1125.0,31,1.0,2.0,1125.0,30,30,1.0,0,2026-04-11,v1_student
50840324,De Baarsjes - Oud-West,Entire loft,Entire home/apt,4,1.5,2.0,,,3,30,False,True,1,25.0,25.0,299.88,755.0,241.0,0,0.0,4.0,30.0,0,0.0,4.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50840737,Geuzenveld - Slotermeer,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,187.0,1,30,False,False,1,10.0,10.0,292.4,1024.0,243.0,0,0.0,1.0,30.0,0,0.0,1.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50840955,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2,2.0,1.0,,,3,25,False,False,1,6.0,6.0,373.5,653.0,910.0,0,0.0,3.0,25.0,0,0.0,3.0,25.0,30,0,0.0,1,2026-04-11,v1_student
50841459,Westerpark,Entire loft,Entire home/apt,2,1.0,1.0,1.0,145.0,3,30,False,False,1,6.0,6.0,102.0,379.0,335.0,1,0.01098901098901099,3.021978021978022,30.0,0,0.0,3.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50844158,Westerpark,Entire rental unit,Entire home/apt,4,1.5,2.0,,,3,12,False,False,1,12.0,12.0,344.3333333333333,860.0,1025.0,0,0.0,3.0,12.0,0,0.0,3.0,12.0,30,0,0.0,1,2026-04-11,v1_student
50848503,Bos en Lommer,Entire condo,Entire home/apt,2,1.0,1.0,,,2,30,False,False,1,9.0,9.0,258.55555555555554,476.0,591.0,0,0.0,2.0,30.0,0,0.0,2.0,30.0,30,0,0.0,1,2026-04-11,v1_student
50881210,Noord-West,Entire home,Entire home/apt,4,1.0,3.0,,,4,21,False,False,1,4.0,4.0,315.25,462.0,660.0,0,0.0,4.0,1125.0,0,0.0,4.0,1125.0,30,0,0.0,1,2026-04-11,v1_student
50892592,Centrum-West,Private room in bed and breakfast,Private room,2,1.5,1.0,0.0,146.0,3,30,True,True,2,33.0,33.0,313.75757575757575,836.0,224.0,91,1.0,3.142857142857143,30.0,31,1.0,3.4193548387096775,30.0,30,30,1.0,0,2026-04-11,v1_student
50903699,Oud-Noord,Entire loft,Entire home/apt,2,1.5,1.0,1.0,248.0,4,28,False,False,1,10.0,10.0,185.2,749.0,303.0,91,1.0,4.0,28.0,31,1.0,4.0,28.0,30,30,1.0,0,2026-04-11,v1_student
50903956,Centrum-West,Entire loft,Entire home/apt,2,1.0,1.0,1.0,252.0,5,14,False,False,1,0.0,0.0,,,-1.0,11,0.12087912087912088,5.0,14.0,11,0.3548387096774194,5.0,14.0,30,30,1.0,0,2026-04-11,v1_student
50916897,Slotervaart,Entire condo,Entire home/apt,4,1.5,2.0,2.0,181.0,5,40,False,False,1,4.0,4.0,244.5,373.0,544.0,0,0.0,5.0,40.0,0,0.0,5.0,40.0,30,0,0.0,1,2026-04-11,v1_student
